gender,age,category,quantity,price,payment_method,datetime,shopping_mall,year,month
Female,68,Food & Beverage,5,26.15,Cash,2021-06-02,Istinye Park,2021,June
Male,40,Food & Beverage,3,15.69,Cash,2021-12-23,Kanyon,2021,December
Female,44,Cosmetics,3,121.98,Cash,2023-02-25,Kanyon,2023,February
Male,56,Cosmetics,4,162.64,Cash,2023-02-02,Metrocity,2023,February
Female,20,Toys,4,143.36,Cash,2022-09-09,Istinye Park,2022,September
Male,45,Cosmetics,1,40.66,Debit Card,2022-04-23,Mall of Istanbul,2022,April
Female,57,Shoes,2,1200.34,Cash,2022-06-05,Metropol AVM,2022,June
Female,61,Cosmetics,3,121.98,Debit Card,2023-02-18,Metrocity,2023,February
Male,39,Clothing,1,300.08,Credit Card,2022-02-25,Viaport Outlet,2022,February
Male,40,Shoes,3,1800.51,Debit Card,2021-05-23,Emaar Square Mall,2021,May
Female,49,Cosmetics,1,40.66,Cash,2023-01-30,Kanyon,2023,January
Female,69,Cosmetics,2,81.32,Cash,2021-02-09,Kanyon,2021,February
Female,24,Clothing,3,900.24,Cash,2023-01-20,Viaport Outlet,2023,January
Male,33,Shoes,3,1800.51,Cash,2021-06-17,Kanyon,2021,June
Female,28,Food & Beverage,1,5.23,Cash,2022-04-07,Mall of Istanbul,2022,April
Female,49,Shoes,2,1200.34,Debit Card,2023-05-03,Metropol AVM,2023,May
Female,66,Souvenir,5,58.65,Credit Card,2021-05-06,Istinye Park,2021,May
Male,57,Clothing,4,1200.32,Debit Card,2021-12-18,Metrocity,2021,December
Male,52,Cosmetics,2,81.32,Cash,2022-05-17,Mall of Istanbul,2022,May
Female,39,Clothing,2,600.16,Credit Card,2022-10-21,Metropol AVM,2022,October
Male,52,Cosmetics,1,40.66,Credit Card,2023-08-01,Istinye Park,2023,August
Female,68,Cosmetics,5,203.3,Credit Card,2022-12-26,Viaport Outlet,2022,December
Male,52,Clothing,4,1200.32,Credit Card,2021-09-26,Kanyon,2021,September
Male,22,Clothing,4,1200.32,Cash,2021-11-16,Viaport Outlet,2021,November
Female,41,Clothing,2,600.16,Cash,2022-07-06,Zorlu Center,2022,July
Male,40,Clothing,1,300.08,Cash,2023-06-02,Istinye Park,2023,June
Female,58,Clothing,2,600.16,Cash,2022-12-11,Kanyon,2022,December
Female,21,Cosmetics,4,162.64,Debit Card,2021-07-20,Mall of Istanbul,2021,July
Male,56,Shoes,2,1200.34,Credit Card,2021-09-12,Zorlu Center,2021,September
Female,56,Clothing,1,300.08,Cash,2022-07-02,Emaar Square Mall,2022,July
Male,60,Technology,3,3150.0,Debit Card,2022-01-12,Kanyon,2022,January
Male,20,Food & Beverage,5,26.15,Cash,2022-01-04,Mall of Istanbul,2022,January
Male,39,Clothing,5,1500.4,Cash,2022-09-29,Mall of Istanbul,2022,September
Female,30,Cosmetics,2,81.32,Cash,2021-08-11,Metropol AVM,2021,August
Female,69,Toys,4,143.36,Cash,2022-12-12,Mall of Istanbul,2022,December
Male,49,Food & Beverage,4,20.92,Credit Card,2021-10-15,Mall of Istanbul,2021,October
Female,28,Cosmetics,1,40.66,Credit Card,2022-11-21,Istinye Park,2022,November
Male,26,Souvenir,1,11.73,Cash,2022-12-20,Metrocity,2022,December
Female,33,Clothing,3,900.24,Cash,2022-08-13,Zorlu Center,2022,August
Male,38,Toys,2,71.68,Credit Card,2022-05-05,Metrocity,2022,May
Female,20,Clothing,1,300.08,Credit Card,2021-06-19,Cevahir AVM,2021,June
Female,60,Clothing,1,300.08,Cash,2021-05-31,Kanyon,2021,May
Male,57,Souvenir,4,46.92,Cash,2022-06-22,Metrocity,2022,June
Female,42,Cosmetics,2,81.32,Cash,2021-12-11,Forum Istanbul,2021,December
Female,38,Clothing,5,1500.4,Cash,2021-02-07,Cevahir AVM,2021,February
Female,64,Cosmetics,1,40.66,Credit Card,2022-12-17,Metropol AVM,2022,December
Female,60,Clothing,2,600.16,Cash,2021-04-03,Kanyon,2021,April
Female,68,Food & Beverage,5,26.15,Credit Card,2022-05-13,Istinye Park,2022,May
Female,47,Clothing,1,300.08,Cash,2022-09-27,Cevahir AVM,2022,September
Male,62,Books,5,75.75,Credit Card,2022-12-05,Metrocity,2022,December
Male,60,Clothing,2,600.16,Debit Card,2021-01-23,Istinye Park,2021,January
Male,43,Toys,3,107.52,Credit Card,2022-10-12,Kanyon,2022,October
Male,37,Food & Beverage,3,15.69,Credit Card,2022-12-01,Kanyon,2022,December
Male,31,Clothing,3,900.24,Cash,2022-06-03,Metrocity,2022,June
Female,42,Clothing,4,1200.32,Debit Card,2021-11-17,Istinye Park,2021,November
Male,25,Clothing,3,900.24,Cash,2022-01-08,Mall of Istanbul,2022,January
Male,43,Shoes,4,2400.68,Credit Card,2021-12-02,Istinye Park,2021,December
Female,42,Souvenir,3,35.19,Credit Card,2021-02-17,Istinye Park,2021,February
Male,63,Toys,5,179.2,Debit Card,2022-06-01,Metropol AVM,2022,June
Female,43,Cosmetics,5,203.3,Cash,2022-12-02,Forum Istanbul,2022,December
Female,49,Souvenir,5,58.65,Cash,2021-07-02,Mall of Istanbul,2021,July
Male,35,Shoes,4,2400.68,Debit Card,2022-09-17,Forum Istanbul,2022,September
Male,67,Clothing,1,300.08,Cash,2022-04-24,Kanyon,2022,April
Female,50,Clothing,2,600.16,Debit Card,2023-02-17,Forum Istanbul,2023,February
Female,52,Clothing,4,1200.32,Cash,2021-01-25,Forum Istanbul,2021,January
Female,32,Clothing,5,1500.4,Cash,2021-02-20,Kanyon,2021,February
Female,38,Clothing,3,900.24,Credit Card,2023-02-02,Mall of Istanbul,2023,February
Female,43,Shoes,5,3000.85,Cash,2021-09-26,Metrocity,2021,September
Male,31,Food & Beverage,3,15.69,Credit Card,2021-07-23,Cevahir AVM,2021,July
Female,47,Clothing,4,1200.32,Credit Card,2022-03-17,Mall of Istanbul,2022,March
Female,39,Technology,4,4200.0,Cash,2022-06-04,Istinye Park,2022,June
Female,37,Toys,3,107.52,Cash,2022-08-29,Zorlu Center,2022,August
Female,36,Souvenir,5,58.65,Credit Card,2022-11-21,Cevahir AVM,2022,November
Female,47,Toys,3,107.52,Cash,2021-06-30,Istinye Park,2021,June
Male,48,Food & Beverage,2,10.46,Credit Card,2022-04-25,Metrocity,2022,April
Male,42,Food & Beverage,4,20.92,Debit Card,2022-03-14,Cevahir AVM,2022,March
Male,38,Toys,5,179.2,Credit Card,2022-11-19,Kanyon,2022,November
Female,57,Cosmetics,1,40.66,Credit Card,2022-03-06,Emaar Square Mall,2022,March
Female,20,Books,1,15.15,Cash,2022-07-18,Metrocity,2022,July
Male,23,Cosmetics,1,40.66,Debit Card,2022-02-20,Mall of Istanbul,2022,February
Male,65,Souvenir,3,35.19,Credit Card,2022-02-19,Istinye Park,2022,February
Female,44,Clothing,3,900.24,Credit Card,2022-02-19,Mall of Istanbul,2022,February
Male,55,Food & Beverage,1,5.23,Debit Card,2023-02-17,Viaport Outlet,2023,February
Male,64,Food & Beverage,4,20.92,Debit Card,2021-10-22,Forum Istanbul,2021,October
Male,54,Shoes,1,600.17,Debit Card,2021-04-28,Mall of Istanbul,2021,April
Female,64,Cosmetics,4,162.64,Cash,2021-05-06,Metrocity,2021,May
Male,44,Souvenir,3,35.19,Credit Card,2023-02-26,Cevahir AVM,2023,February
Male,18,Cosmetics,3,121.98,Credit Card,2021-11-21,Mall of Istanbul,2021,November
Female,26,Shoes,2,1200.34,Cash,2021-05-04,Emaar Square Mall,2021,May
Female,48,Clothing,3,900.24,Credit Card,2021-06-02,Metropol AVM,2021,June
Male,25,Food & Beverage,2,10.46,Cash,2021-09-09,Mall of Istanbul,2021,September
Female,25,Shoes,3,1800.51,Debit Card,2021-07-10,Kanyon,2021,July
Male,19,Cosmetics,2,81.32,Cash,2022-01-25,Cevahir AVM,2022,January
Male,20,Toys,1,35.84,Cash,2022-04-30,Kanyon,2022,April
Female,66,Shoes,3,1800.51,Cash,2021-07-18,Istinye Park,2021,July
Female,61,Books,1,15.15,Credit Card,2021-01-24,Emaar Square Mall,2021,January
Female,31,Clothing,2,600.16,Credit Card,2022-10-10,Cevahir AVM,2022,October
Male,57,Cosmetics,1,40.66,Debit Card,2021-12-13,Istinye Park,2021,December
Female,55,Cosmetics,2,81.32,Debit Card,2022-02-01,Istinye Park,2022,February
Female,49,Souvenir,2,23.46,Cash,2022-11-18,Mall of Istanbul,2022,November
Male,66,Technology,4,4200.0,Cash,2023-01-24,Kanyon,2023,January
Male,49,Clothing,5,1500.4,Cash,2021-11-16,Cevahir AVM,2021,November
Male,68,Clothing,3,900.24,Credit Card,2023-01-15,Mall of Istanbul,2023,January
Female,36,Souvenir,4,46.92,Cash,2021-06-07,Cevahir AVM,2021,June
Male,40,Clothing,2,600.16,Credit Card,2022-02-03,Istinye Park,2022,February
Male,65,Clothing,5,1500.4,Credit Card,2023-03-03,Forum Istanbul,2023,March
Male,66,Toys,2,71.68,Credit Card,2021-03-19,Mall of Istanbul,2021,March
Female,41,Clothing,4,1200.32,Cash,2022-12-24,Kanyon,2022,December
Female,26,Toys,1,35.84,Cash,2023-03-02,Emaar Square Mall,2023,March
Male,50,Toys,4,143.36,Cash,2021-07-30,Kanyon,2021,July
Male,62,Cosmetics,1,40.66,Credit Card,2022-06-07,Mall of Istanbul,2022,June
Male,52,Souvenir,3,35.19,Credit Card,2023-06-01,Metrocity,2023,June
Female,18,Shoes,1,600.17,Credit Card,2021-04-30,Istinye Park,2021,April
Female,21,Cosmetics,5,203.3,Cash,2023-06-02,Kanyon,2023,June
Female,52,Technology,1,1050.0,Credit Card,2022-02-05,Viaport Outlet,2022,February
Male,66,Clothing,2,600.16,Cash,2021-06-29,Mall of Istanbul,2021,June
Female,61,Shoes,3,1800.51,Cash,2023-01-27,Kanyon,2023,January
Male,50,Toys,2,71.68,Credit Card,2021-12-07,Kanyon,2021,December
Male,59,Clothing,5,1500.4,Cash,2022-10-11,Zorlu Center,2022,October
Male,38,Cosmetics,2,81.32,Debit Card,2022-05-20,Kanyon,2022,May
Female,64,Shoes,5,3000.85,Credit Card,2021-04-06,Zorlu Center,2021,April
Male,53,Clothing,5,1500.4,Credit Card,2021-07-26,Kanyon,2021,July
Female,50,Food & Beverage,2,10.46,Debit Card,2022-07-31,Istinye Park,2022,July
Female,39,Clothing,2,600.16,Credit Card,2022-05-27,Cevahir AVM,2022,May
Female,54,Clothing,2,600.16,Cash,2021-03-08,Kanyon,2021,March
Male,60,Food & Beverage,1,5.23,Debit Card,2021-02-21,Istinye Park,2021,February
Female,48,Cosmetics,4,162.64,Credit Card,2023-06-02,Zorlu Center,2023,June
Female,55,Clothing,5,1500.4,Debit Card,2022-02-03,Mall of Istanbul,2022,February
Male,42,Cosmetics,5,203.3,Cash,2022-11-03,Kanyon,2022,November
Female,57,Clothing,4,1200.32,Credit Card,2021-12-13,Kanyon,2021,December
Female,64,Shoes,5,3000.85,Credit Card,2022-01-27,Metrocity,2022,January
Female,49,Clothing,5,1500.4,Cash,2022-04-30,Metropol AVM,2022,April
Male,36,Food & Beverage,3,15.69,Credit Card,2021-06-15,Mall of Istanbul,2021,June
Female,43,Food & Beverage,4,20.92,Credit Card,2021-12-06,Zorlu Center,2021,December
Female,40,Clothing,5,1500.4,Cash,2021-11-06,Emaar Square Mall,2021,November
Female,29,Toys,3,107.52,Debit Card,2021-09-14,Kanyon,2021,September
Female,35,Clothing,4,1200.32,Credit Card,2021-10-11,Metrocity,2021,October
Male,35,Clothing,4,1200.32,Cash,2022-12-10,Mall of Istanbul,2022,December
Male,38,Shoes,5,3000.85,Credit Card,2021-12-06,Mall of Istanbul,2021,December
Female,35,Clothing,5,1500.4,Credit Card,2022-09-04,Metrocity,2022,September
Female,38,Clothing,2,600.16,Debit Card,2022-10-02,Forum Istanbul,2022,October
Female,45,Cosmetics,2,81.32,Credit Card,2022-03-07,Istinye Park,2022,March
Female,59,Toys,1,35.84,Cash,2021-09-30,Istinye Park,2021,September
Male,28,Shoes,4,2400.68,Cash,2022-11-13,Metrocity,2022,November
Female,67,Cosmetics,3,121.98,Credit Card,2022-03-17,Metropol AVM,2022,March
Female,50,Souvenir,1,11.73,Cash,2022-08-20,Kanyon,2022,August
Female,48,Cosmetics,5,203.3,Cash,2022-09-26,Mall of Istanbul,2022,September
Male,34,Toys,2,71.68,Debit Card,2023-02-26,Metrocity,2023,February
Male,58,Cosmetics,3,121.98,Debit Card,2021-07-30,Zorlu Center,2021,July
Female,54,Cosmetics,4,162.64,Credit Card,2022-07-31,Metropol AVM,2022,July
Male,27,Shoes,5,3000.85,Credit Card,2022-04-20,Viaport Outlet,2022,April
Female,42,Clothing,3,900.24,Credit Card,2022-10-14,Kanyon,2022,October
Female,20,Cosmetics,4,162.64,Debit Card,2021-03-11,Mall of Istanbul,2021,March
Female,22,Clothing,4,1200.32,Credit Card,2022-09-02,Mall of Istanbul,2022,September
Female,50,Books,3,45.45,Debit Card,2023-01-31,Istinye Park,2023,January
Female,32,Clothing,4,1200.32,Credit Card,2022-05-03,Mall of Istanbul,2022,May
Male,55,Clothing,5,1500.4,Debit Card,2023-02-01,Metropol AVM,2023,February
Male,39,Cosmetics,1,40.66,Cash,2022-08-12,Cevahir AVM,2022,August
Female,55,Clothing,5,1500.4,Credit Card,2021-06-02,Kanyon,2021,June
Female,43,Clothing,3,900.24,Credit Card,2023-10-01,Istinye Park,2023,October
Male,28,Shoes,5,3000.85,Credit Card,2021-01-12,Istinye Park,2021,January
Male,53,Clothing,4,1200.32,Cash,2021-10-03,Cevahir AVM,2021,October
Male,33,Cosmetics,4,162.64,Credit Card,2023-05-02,Kanyon,2023,May
Male,53,Cosmetics,4,162.64,Cash,2022-03-22,Kanyon,2022,March
Female,47,Food & Beverage,1,5.23,Cash,2022-04-06,Metropol AVM,2022,April
Male,24,Food & Beverage,2,10.46,Cash,2021-04-12,Metropol AVM,2021,April
Female,60,Technology,4,4200.0,Cash,2021-06-01,Forum Istanbul,2021,June
Female,54,Shoes,1,600.17,Cash,2022-06-09,Cevahir AVM,2022,June
Female,59,Food & Beverage,1,5.23,Cash,2023-02-27,Mall of Istanbul,2023,February
Male,28,Toys,3,107.52,Cash,2023-10-02,Kanyon,2023,October
Female,38,Toys,4,143.36,Cash,2021-03-06,Cevahir AVM,2021,March
Female,65,Cosmetics,4,162.64,Credit Card,2022-08-05,Forum Istanbul,2022,August
Female,51,Technology,4,4200.0,Cash,2021-11-06,Mall of Istanbul,2021,November
Female,54,Clothing,2,600.16,Credit Card,2021-09-09,Mall of Istanbul,2021,September
Female,52,Food & Beverage,4,20.92,Cash,2022-03-23,Metrocity,2022,March
Female,49,Souvenir,5,58.65,Cash,2022-07-07,Istinye Park,2022,July
Male,26,Cosmetics,3,121.98,Cash,2022-09-13,Kanyon,2022,September
Female,56,Clothing,2,600.16,Cash,2021-09-03,Metropol AVM,2021,September
Female,45,Clothing,2,600.16,Debit Card,2023-01-21,Kanyon,2023,January
Male,54,Clothing,5,1500.4,Credit Card,2021-07-27,Metropol AVM,2021,July
Female,67,Clothing,5,1500.4,Cash,2021-12-14,Mall of Istanbul,2021,December
Female,60,Food & Beverage,2,10.46,Cash,2021-11-08,Metropol AVM,2021,November
Female,35,Food & Beverage,4,20.92,Credit Card,2023-02-26,Emaar Square Mall,2023,February
Female,26,Clothing,4,1200.32,Debit Card,2023-02-28,Kanyon,2023,February
Female,60,Clothing,2,600.16,Credit Card,2021-06-17,Zorlu Center,2021,June
Female,64,Souvenir,5,58.65,Debit Card,2022-10-03,Mall of Istanbul,2022,October
Female,37,Books,3,45.45,Cash,2021-10-09,Metropol AVM,2021,October
Male,59,Clothing,4,1200.32,Debit Card,2021-12-18,Kanyon,2021,December
Female,23,Souvenir,3,35.19,Cash,2022-02-27,Emaar Square Mall,2022,February
Female,62,Shoes,3,1800.51,Cash,2021-10-05,Metropol AVM,2021,October
Male,26,Technology,1,1050.0,Debit Card,2022-02-19,Metrocity,2022,February
Female,33,Toys,3,107.52,Cash,2022-08-17,Cevahir AVM,2022,August
Female,28,Cosmetics,3,121.98,Credit Card,2022-04-25,Metropol AVM,2022,April
Male,18,Clothing,2,600.16,Credit Card,2022-01-25,Viaport Outlet,2022,January
Male,34,Books,5,75.75,Cash,2022-01-20,Metrocity,2022,January
Female,23,Shoes,2,1200.34,Cash,2022-09-11,Mall of Istanbul,2022,September
Female,62,Food & Beverage,1,5.23,Cash,2022-08-16,Kanyon,2022,August
Male,47,Shoes,1,600.17,Cash,2023-01-30,Mall of Istanbul,2023,January
Female,62,Clothing,3,900.24,Credit Card,2022-04-02,Metrocity,2022,April
Female,41,Clothing,2,600.16,Credit Card,2021-02-10,Emaar Square Mall,2021,February
Female,61,Clothing,5,1500.4,Cash,2022-05-20,Kanyon,2022,May
Female,48,Cosmetics,4,162.64,Credit Card,2021-05-25,Istinye Park,2021,May
Female,51,Technology,1,1050.0,Cash,2021-03-02,Emaar Square Mall,2021,March
Male,56,Souvenir,1,11.73,Credit Card,2021-04-27,Istinye Park,2021,April
Female,68,Clothing,1,300.08,Cash,2022-09-10,Viaport Outlet,2022,September
Female,52,Food & Beverage,3,15.69,Cash,2021-06-23,Mall of Istanbul,2021,June
Female,19,Clothing,5,1500.4,Credit Card,2022-03-21,Metrocity,2022,March
Female,33,Toys,2,71.68,Cash,2021-07-19,Kanyon,2021,July
Male,37,Shoes,3,1800.51,Cash,2022-02-23,Emaar Square Mall,2022,February
Male,50,Clothing,3,900.24,Cash,2023-01-18,Mall of Istanbul,2023,January
Female,33,Clothing,1,300.08,Debit Card,2022-11-17,Metropol AVM,2022,November
Male,36,Clothing,1,300.08,Debit Card,2021-10-16,Mall of Istanbul,2021,October
Female,34,Books,3,45.45,Credit Card,2022-12-30,Zorlu Center,2022,December
Female,23,Food & Beverage,5,26.15,Debit Card,2022-03-29,Metrocity,2022,March
Female,23,Cosmetics,2,81.32,Credit Card,2021-07-12,Metrocity,2021,July
Female,47,Shoes,3,1800.51,Credit Card,2022-03-29,Metropol AVM,2022,March
Male,69,Clothing,5,1500.4,Cash,2022-09-19,Mall of Istanbul,2022,September
Female,63,Food & Beverage,1,5.23,Cash,2021-06-11,Viaport Outlet,2021,June
Female,22,Clothing,2,600.16,Debit Card,2021-12-17,Kanyon,2021,December
Female,47,Toys,5,179.2,Cash,2022-09-30,Kanyon,2022,September
Female,63,Food & Beverage,3,15.69,Credit Card,2021-12-12,Metropol AVM,2021,December
Female,62,Clothing,4,1200.32,Cash,2021-11-18,Mall of Istanbul,2021,November
Male,37,Food & Beverage,5,26.15,Credit Card,2022-03-31,Metropol AVM,2022,March
Female,52,Clothing,2,600.16,Credit Card,2021-11-01,Metropol AVM,2021,November
Female,47,Clothing,4,1200.32,Debit Card,2021-09-24,Forum Istanbul,2021,September
Male,32,Clothing,1,300.08,Cash,2022-08-21,Metrocity,2022,August
Female,46,Clothing,1,300.08,Cash,2021-03-17,Kanyon,2021,March
Male,57,Clothing,4,1200.32,Cash,2023-06-03,Forum Istanbul,2023,June
Male,46,Cosmetics,3,121.98,Cash,2021-12-08,Kanyon,2021,December
Female,47,Food & Beverage,3,15.69,Cash,2022-07-21,Metrocity,2022,July
Female,23,Clothing,3,900.24,Cash,2022-12-26,Metrocity,2022,December
Male,41,Souvenir,2,23.46,Cash,2023-11-02,Metrocity,2023,November
Male,52,Cosmetics,2,81.32,Cash,2022-10-01,Istinye Park,2022,October
Female,63,Toys,3,107.52,Cash,2022-10-15,Mall of Istanbul,2022,October
Male,19,Shoes,4,2400.68,Credit Card,2021-12-18,Emaar Square Mall,2021,December
Female,68,Cosmetics,2,81.32,Credit Card,2022-07-29,Kanyon,2022,July
Male,61,Cosmetics,4,162.64,Credit Card,2021-06-25,Mall of Istanbul,2021,June
Female,69,Toys,4,143.36,Credit Card,2022-09-12,Mall of Istanbul,2022,September
Male,22,Clothing,2,600.16,Cash,2023-01-26,Zorlu Center,2023,January
Female,47,Food & Beverage,3,15.69,Debit Card,2022-07-23,Kanyon,2022,July
Female,63,Clothing,3,900.24,Debit Card,2022-12-04,Metrocity,2022,December
Male,59,Souvenir,3,35.19,Credit Card,2021-12-17,Mall of Istanbul,2021,December
Female,44,Clothing,2,600.16,Credit Card,2021-03-02,Metrocity,2021,March
Male,55,Food & Beverage,3,15.69,Credit Card,2021-05-05,Metrocity,2021,May
Female,27,Toys,1,35.84,Cash,2022-09-02,Cevahir AVM,2022,September
Female,67,Cosmetics,5,203.3,Credit Card,2021-06-03,Viaport Outlet,2021,June
Male,33,Toys,2,71.68,Credit Card,2022-02-06,Kanyon,2022,February
Female,27,Cosmetics,1,40.66,Cash,2021-03-29,Mall of Istanbul,2021,March
Male,28,Technology,3,3150.0,Credit Card,2021-11-08,Mall of Istanbul,2021,November
Female,19,Clothing,5,1500.4,Credit Card,2021-11-01,Metrocity,2021,November
Female,30,Food & Beverage,2,10.46,Credit Card,2022-04-26,Zorlu Center,2022,April
Female,22,Cosmetics,1,40.66,Credit Card,2022-02-23,Kanyon,2022,February
Female,57,Souvenir,4,46.92,Cash,2021-08-28,Metrocity,2021,August
Male,51,Clothing,2,600.16,Credit Card,2022-11-18,Metropol AVM,2022,November
Female,26,Clothing,4,1200.32,Cash,2022-05-14,Emaar Square Mall,2022,May
Female,34,Food & Beverage,4,20.92,Cash,2022-04-11,Forum Istanbul,2022,April
Male,65,Food & Beverage,3,15.69,Credit Card,2021-03-14,Cevahir AVM,2021,March
Female,25,Food & Beverage,4,20.92,Credit Card,2022-05-10,Zorlu Center,2022,May
Female,42,Food & Beverage,2,10.46,Credit Card,2021-11-05,Kanyon,2021,November
Female,46,Books,4,60.6,Credit Card,2023-06-02,Metropol AVM,2023,June
Female,59,Books,2,30.3,Credit Card,2021-02-28,Kanyon,2021,February
Female,33,Food & Beverage,3,15.69,Cash,2021-08-06,Forum Istanbul,2021,August
Female,53,Cosmetics,4,162.64,Credit Card,2022-04-10,Mall of Istanbul,2022,April
Female,52,Clothing,3,900.24,Credit Card,2021-07-21,Metropol AVM,2021,July
Male,40,Food & Beverage,5,26.15,Credit Card,2022-02-13,Mall of Istanbul,2022,February
Female,21,Clothing,4,1200.32,Credit Card,2022-06-10,Kanyon,2022,June
Male,54,Cosmetics,5,203.3,Debit Card,2022-09-02,Mall of Istanbul,2022,September
Female,31,Food & Beverage,2,10.46,Credit Card,2021-10-13,Mall of Istanbul,2021,October
Female,60,Clothing,1,300.08,Credit Card,2022-03-10,Kanyon,2022,March
Male,25,Food & Beverage,2,10.46,Debit Card,2021-02-13,Istinye Park,2021,February
Male,59,Clothing,4,1200.32,Cash,2023-01-13,Mall of Istanbul,2023,January
Male,34,Toys,1,35.84,Cash,2022-07-29,Metrocity,2022,July
Female,33,Books,2,30.3,Cash,2022-09-15,Metropol AVM,2022,September
Female,37,Food & Beverage,1,5.23,Credit Card,2023-12-02,Istinye Park,2023,December
Female,27,Clothing,5,1500.4,Debit Card,2022-12-06,Kanyon,2022,December
Male,43,Toys,3,107.52,Cash,2021-10-28,Metrocity,2021,October
Female,49,Technology,2,2100.0,Cash,2022-06-25,Metrocity,2022,June
Female,21,Food & Beverage,4,20.92,Credit Card,2022-07-29,Metropol AVM,2022,July
Male,48,Clothing,1,300.08,Credit Card,2021-04-21,Mall of Istanbul,2021,April
Female,55,Technology,2,2100.0,Debit Card,2022-04-01,Kanyon,2022,April
Female,69,Shoes,3,1800.51,Debit Card,2022-08-31,Mall of Istanbul,2022,August
Female,53,Souvenir,5,58.65,Cash,2021-08-16,Mall of Istanbul,2021,August
Female,32,Shoes,5,3000.85,Cash,2022-06-04,Metropol AVM,2022,June
Male,67,Technology,4,4200.0,Cash,2022-01-13,Cevahir AVM,2022,January
Male,63,Shoes,1,600.17,Cash,2021-12-30,Metrocity,2021,December
Male,27,Souvenir,3,35.19,Credit Card,2022-06-20,Metrocity,2022,June
Female,41,Food & Beverage,3,15.69,Cash,2021-06-23,Forum Istanbul,2021,June
Female,59,Clothing,4,1200.32,Cash,2022-06-03,Forum Istanbul,2022,June
Female,22,Clothing,4,1200.32,Credit Card,2021-01-17,Istinye Park,2021,January
Male,41,Food & Beverage,3,15.69,Credit Card,2021-11-24,Mall of Istanbul,2021,November
Female,22,Cosmetics,1,40.66,Cash,2022-06-13,Metrocity,2022,June
Male,41,Clothing,2,600.16,Cash,2022-04-01,Metrocity,2022,April
Female,56,Souvenir,1,11.73,Cash,2022-10-20,Zorlu Center,2022,October
Male,63,Cosmetics,4,162.64,Cash,2021-02-24,Emaar Square Mall,2021,February
Male,57,Food & Beverage,2,10.46,Debit Card,2021-05-22,Mall of Istanbul,2021,May
Female,30,Clothing,4,1200.32,Credit Card,2021-06-29,Metropol AVM,2021,June
Male,52,Shoes,4,2400.68,Credit Card,2021-09-27,Metrocity,2021,September
Female,46,Cosmetics,1,40.66,Debit Card,2022-01-17,Metropol AVM,2022,January
Female,39,Cosmetics,2,81.32,Credit Card,2022-10-15,Metrocity,2022,October
Female,34,Toys,4,143.36,Cash,2021-10-16,Kanyon,2021,October
Male,67,Souvenir,3,35.19,Credit Card,2022-08-17,Metrocity,2022,August
Male,65,Books,2,30.3,Credit Card,2022-09-06,Kanyon,2022,September
Female,24,Clothing,4,1200.32,Cash,2021-07-20,Zorlu Center,2021,July
Female,35,Clothing,4,1200.32,Debit Card,2023-01-14,Metropol AVM,2023,January
Male,59,Clothing,1,300.08,Cash,2022-04-05,Metropol AVM,2022,April
Female,45,Books,1,15.15,Credit Card,2021-03-26,Kanyon,2021,March
Male,58,Books,3,45.45,Cash,2021-10-22,Metropol AVM,2021,October
Male,37,Cosmetics,3,121.98,Debit Card,2023-03-03,Istinye Park,2023,March
Female,60,Toys,3,107.52,Cash,2022-03-19,Kanyon,2022,March
Female,68,Souvenir,3,35.19,Credit Card,2021-03-23,Istinye Park,2021,March
Male,52,Clothing,5,1500.4,Cash,2021-04-28,Metropol AVM,2021,April
Male,59,Food & Beverage,3,15.69,Cash,2021-08-28,Kanyon,2021,August
Female,31,Clothing,4,1200.32,Credit Card,2021-03-20,Metrocity,2021,March
Female,47,Clothing,4,1200.32,Credit Card,2022-11-17,Kanyon,2022,November
Male,20,Clothing,5,1500.4,Debit Card,2022-12-19,Metrocity,2022,December
Female,24,Clothing,5,1500.4,Credit Card,2022-06-25,Metrocity,2022,June
Female,66,Shoes,2,1200.34,Cash,2021-01-25,Metrocity,2021,January
Female,21,Food & Beverage,1,5.23,Cash,2022-10-16,Mall of Istanbul,2022,October
Female,62,Books,5,75.75,Debit Card,2021-11-28,Kanyon,2021,November
Female,44,Cosmetics,2,81.32,Debit Card,2021-06-01,Mall of Istanbul,2021,June
Male,18,Clothing,3,900.24,Debit Card,2021-04-08,Kanyon,2021,April
Female,47,Toys,3,107.52,Debit Card,2021-09-16,Kanyon,2021,September
Male,31,Food & Beverage,5,26.15,Cash,2022-10-18,Metropol AVM,2022,October
Male,67,Food & Beverage,5,26.15,Cash,2021-02-08,Kanyon,2021,February
Female,58,Clothing,1,300.08,Cash,2021-10-02,Mall of Istanbul,2021,October
Male,66,Food & Beverage,3,15.69,Debit Card,2022-01-15,Zorlu Center,2022,January
Female,41,Clothing,1,300.08,Debit Card,2021-10-04,Emaar Square Mall,2021,October
Male,34,Books,2,30.3,Cash,2021-03-21,Mall of Istanbul,2021,March
Female,59,Cosmetics,5,203.3,Cash,2021-03-01,Mall of Istanbul,2021,March
Female,64,Clothing,3,900.24,Cash,2023-01-26,Istinye Park,2023,January
Male,28,Cosmetics,5,203.3,Cash,2021-02-24,Forum Istanbul,2021,February
Female,20,Clothing,4,1200.32,Credit Card,2023-05-01,Istinye Park,2023,May
Female,62,Toys,5,179.2,Cash,2021-09-14,Kanyon,2021,September
